tamanyo;;1;2;3;4;5;;;;;;;
10000;dNo;0,075868056;0,173350694;0,296527778;0,4046875;0,472829861;;;;;;;
10000;dp_d_damerau_trieYes;0,415364583;0,413541667;0,413802083;0,412673611;0,414670139;;;;;;;
10000;dp_i_damerau_trieYes;0,875607639;0,880989583;0,881684028;0,879427083;0,879774306;;;;;;;
10000;dp_l_trieYes;0,276996528;0,27578125;0,27734375;0,276388889;0,277256944;;;;;;;
10000;iNo;0,090538194;0,21171875;0,373003472;0,521875;0,615104167;;;;;;;
10000;lCotaNo;0,035243056;0,056684028;0,101041667;0,210416667;0,342881944;;;;;;;
10000;lNo;0,072048611;0,154774306;0,252517361;0,349479167;0,412586806;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;0,075868056;0,173350694;0,296527778;0,4046875;0,472829861;;;0,075868056;0,173350694;0,296527778;0,4046875;0,472829861
;;0,415364583;0,413541667;0,413802083;0,412673611;0,414670139;;;0,415364583;0,413541667;0,413802083;0,412673611;0,414670139
;;0,875607639;0,880989583;0,881684028;0,879427083;0,879774306;;;0,875607639;0,880989583;0,881684028;0,879427083;0,879774306
;;0,276996528;0,27578125;0,27734375;0,276388889;0,277256944;;;0,276996528;0,27578125;0,27734375;0,276388889;0,277256944
;;0,090538194;0,21171875;0,373003472;0,521875;0,615104167;;;0,090538194;0,21171875;0,373003472;0,521875;0,615104167
;;0,072048611;0,154774306;0,252517361;0,349479167;0,412586806;;;0,035243056;0,056684028;0,101041667;0,210416667;0,342881944
;;;;;;;;;0,072048611;0,154774306;0,252517361;0,349479167;0,412586806
