,palabra,tamanyo,threshold,distancia,trie,tiempo
0,casa,2500,1,intermediate,Yes,0.015625
1,casa,2500,2,intermediate,Yes,0.046875
2,casa,2500,4,intermediate,Yes,0.109375
3,casa,2500,5,intermediate,Yes,0.125
4,casa,2500,7,intermediate,Yes,0.171875
5,casa,2500,1,restricted,Yes,0.0
6,casa,2500,2,restricted,Yes,0.03125
7,casa,2500,4,restricted,Yes,0.09375
8,casa,2500,5,restricted,Yes,0.125
9,casa,2500,7,restricted,Yes,0.171875
10,casa,2500,1,levenshtein,Yes,0.046875
11,casa,2500,2,levenshtein,Yes,0.046875
12,casa,2500,4,levenshtein,Yes,0.078125
13,casa,2500,5,levenshtein,Yes,0.078125
14,casa,2500,7,levenshtein,Yes,0.078125
15,casa,2500,1,intermediate,No,0.234375
16,casa,2500,2,intermediate,No,0.234375
17,casa,2500,4,intermediate,No,0.234375
18,casa,2500,5,intermediate,No,0.234375
19,casa,2500,7,intermediate,No,0.21875
20,casa,2500,1,restricted,No,0.09375
21,casa,2500,2,restricted,No,0.078125
22,casa,2500,4,restricted,No,0.09375
23,casa,2500,5,restricted,No,0.09375
24,casa,2500,7,restricted,No,0.078125
25,casa,2500,1,levenshtein,No,0.09375
26,casa,2500,2,levenshtein,No,0.078125
27,casa,2500,4,levenshtein,No,0.078125
28,casa,2500,5,levenshtein,No,0.078125
29,casa,2500,7,levenshtein,No,0.09375
30,casa,10000,1,intermediate,Yes,0.046875
31,casa,10000,2,intermediate,Yes,0.125
32,casa,10000,4,intermediate,Yes,0.4375
33,casa,10000,5,intermediate,Yes,0.625
34,casa,10000,7,intermediate,Yes,0.828125
35,casa,10000,1,restricted,Yes,0.046875
36,casa,10000,2,restricted,Yes,0.125
37,casa,10000,4,restricted,Yes,0.375
38,casa,10000,5,restricted,Yes,0.484375
39,casa,10000,7,restricted,Yes,0.65625
40,casa,10000,1,levenshtein,Yes,0.203125
41,casa,10000,2,levenshtein,Yes,0.21875
42,casa,10000,4,levenshtein,Yes,0.265625
43,casa,10000,5,levenshtein,Yes,0.296875
44,casa,10000,7,levenshtein,Yes,0.34375
45,casa,10000,1,intermediate,No,0.890625
46,casa,10000,2,intermediate,No,0.890625
47,casa,10000,4,intermediate,No,0.890625
48,casa,10000,5,intermediate,No,0.890625
49,casa,10000,7,intermediate,No,0.921875
50,casa,10000,1,restricted,No,0.328125
51,casa,10000,2,restricted,No,0.34375
52,casa,10000,4,restricted,No,0.328125
53,casa,10000,5,restricted,No,0.34375
54,casa,10000,7,restricted,No,0.34375
55,casa,10000,1,levenshtein,No,0.3125
56,casa,10000,2,levenshtein,No,0.296875
57,casa,10000,4,levenshtein,No,0.296875
58,casa,10000,5,levenshtein,No,0.328125
59,casa,10000,7,levenshtein,No,0.296875
60,casa,35000,1,intermediate,Yes,0.125
61,casa,35000,2,intermediate,Yes,0.375
62,casa,35000,4,intermediate,Yes,1.125
63,casa,35000,5,intermediate,Yes,1.375
64,casa,35000,7,intermediate,Yes,1.796875
65,casa,35000,1,restricted,Yes,0.109375
66,casa,35000,2,restricted,Yes,0.328125
67,casa,35000,4,restricted,Yes,0.953125
68,casa,35000,5,restricted,Yes,1.1875
69,casa,35000,7,restricted,Yes,1.53125
70,casa,35000,1,levenshtein,Yes,0.515625
71,casa,35000,2,levenshtein,Yes,0.515625
72,casa,35000,4,levenshtein,Yes,0.65625
73,casa,35000,5,levenshtein,Yes,0.75
74,casa,35000,7,levenshtein,Yes,0.84375
75,casa,35000,1,intermediate,No,2.0
76,casa,35000,2,intermediate,No,2.0625
77,casa,35000,4,intermediate,No,2.109375
78,casa,35000,5,intermediate,No,2.125
79,casa,35000,7,intermediate,No,2.109375
80,casa,35000,1,restricted,No,0.84375
81,casa,35000,2,restricted,No,0.796875
82,casa,35000,4,restricted,No,0.75
83,casa,35000,5,restricted,No,0.796875
84,casa,35000,7,restricted,No,0.8125
85,casa,35000,1,levenshtein,No,0.78125
86,casa,35000,2,levenshtein,No,0.71875
87,casa,35000,4,levenshtein,No,0.71875
88,casa,35000,5,levenshtein,No,0.734375
89,casa,35000,7,levenshtein,No,0.75
90,senor,2500,1,intermediate,Yes,0.03125
91,senor,2500,2,intermediate,Yes,0.0625
92,senor,2500,4,intermediate,Yes,0.1875
93,senor,2500,5,intermediate,Yes,0.21875
94,senor,2500,7,intermediate,Yes,0.265625
95,senor,2500,1,restricted,Yes,0.03125
96,senor,2500,2,restricted,Yes,0.046875
97,senor,2500,4,restricted,Yes,0.15625
98,senor,2500,5,restricted,Yes,0.1875
99,senor,2500,7,restricted,Yes,0.21875
100,senor,2500,1,levenshtein,Yes,0.046875
101,senor,2500,2,levenshtein,Yes,0.0625
102,senor,2500,4,levenshtein,Yes,0.078125
103,senor,2500,5,levenshtein,Yes,0.09375
104,senor,2500,7,levenshtein,Yes,0.09375
105,senor,2500,1,intermediate,No,0.3125
106,senor,2500,2,intermediate,No,0.3125
107,senor,2500,4,intermediate,No,0.296875
108,senor,2500,5,intermediate,No,0.3125
109,senor,2500,7,intermediate,No,0.3125
110,senor,2500,1,restricted,No,0.078125
111,senor,2500,2,restricted,No,0.109375
112,senor,2500,4,restricted,No,0.125
113,senor,2500,5,restricted,No,0.109375
114,senor,2500,7,restricted,No,0.109375
115,senor,2500,1,levenshtein,No,0.078125
116,senor,2500,2,levenshtein,No,0.109375
117,senor,2500,4,levenshtein,No,0.09375
118,senor,2500,5,levenshtein,No,0.109375
119,senor,2500,7,levenshtein,No,0.09375
120,senor,10000,1,intermediate,Yes,0.078125
121,senor,10000,2,intermediate,Yes,0.234375
122,senor,10000,4,intermediate,Yes,0.6875
123,senor,10000,5,intermediate,Yes,0.84375
124,senor,10000,7,intermediate,Yes,0.96875
125,senor,10000,1,restricted,Yes,0.078125
126,senor,10000,2,restricted,Yes,0.203125
127,senor,10000,4,restricted,Yes,0.625
128,senor,10000,5,restricted,Yes,0.796875
129,senor,10000,7,restricted,Yes,0.84375
130,senor,10000,1,levenshtein,Yes,0.203125
131,senor,10000,2,levenshtein,Yes,0.234375
132,senor,10000,4,levenshtein,Yes,0.3125
133,senor,10000,5,levenshtein,Yes,0.359375
134,senor,10000,7,levenshtein,Yes,0.390625
135,senor,10000,1,intermediate,No,1.140625
136,senor,10000,2,intermediate,No,1.15625
137,senor,10000,4,intermediate,No,1.1875
138,senor,10000,5,intermediate,No,1.171875
139,senor,10000,7,intermediate,No,1.234375
140,senor,10000,1,restricted,No,0.46875
141,senor,10000,2,restricted,No,0.421875
142,senor,10000,4,restricted,No,0.4375
143,senor,10000,5,restricted,No,0.421875
144,senor,10000,7,restricted,No,0.453125
145,senor,10000,1,levenshtein,No,0.390625
146,senor,10000,2,levenshtein,No,0.40625
147,senor,10000,4,levenshtein,No,0.390625
148,senor,10000,5,levenshtein,No,0.375
149,senor,10000,7,levenshtein,No,0.390625
150,senor,35000,1,intermediate,Yes,0.234375
151,senor,35000,2,intermediate,Yes,0.609375
152,senor,35000,4,intermediate,Yes,1.703125
153,senor,35000,5,intermediate,Yes,2.078125
154,senor,35000,7,intermediate,Yes,2.40625
155,senor,35000,1,restricted,Yes,0.203125
156,senor,35000,2,restricted,Yes,0.546875
157,senor,35000,4,restricted,Yes,1.46875
158,senor,35000,5,restricted,Yes,1.703125
159,senor,35000,7,restricted,Yes,1.953125
160,senor,35000,1,levenshtein,Yes,0.515625
161,senor,35000,2,levenshtein,Yes,0.59375
162,senor,35000,4,levenshtein,Yes,0.8125
163,senor,35000,5,levenshtein,Yes,0.921875
164,senor,35000,7,levenshtein,Yes,0.9375
165,senor,35000,1,intermediate,No,2.734375
166,senor,35000,2,intermediate,No,2.640625
167,senor,35000,4,intermediate,No,2.71875
168,senor,35000,5,intermediate,No,2.78125
169,senor,35000,7,intermediate,No,2.734375
170,senor,35000,1,restricted,No,1.03125
171,senor,35000,2,restricted,No,1.0
172,senor,35000,4,restricted,No,1.046875
173,senor,35000,5,restricted,No,1.015625
174,senor,35000,7,restricted,No,1.078125
175,senor,35000,1,levenshtein,No,0.859375
176,senor,35000,2,levenshtein,No,0.890625
177,senor,35000,4,levenshtein,No,0.890625
178,senor,35000,5,levenshtein,No,0.90625
179,senor,35000,7,levenshtein,No,0.921875
180,constitución,2500,1,intermediate,Yes,0.015625
181,constitución,2500,2,intermediate,Yes,0.03125
182,constitución,2500,4,intermediate,Yes,0.171875
183,constitución,2500,5,intermediate,Yes,0.28125
184,constitución,2500,7,intermediate,Yes,0.46875
185,constitución,2500,1,restricted,Yes,0.015625
186,constitución,2500,2,restricted,Yes,0.03125
187,constitución,2500,4,restricted,Yes,0.15625
188,constitución,2500,5,restricted,Yes,0.234375
189,constitución,2500,7,restricted,Yes,0.375
190,constitución,2500,1,levenshtein,Yes,0.078125
191,constitución,2500,2,levenshtein,Yes,0.0625
192,constitución,2500,4,levenshtein,Yes,0.0625
193,constitución,2500,5,levenshtein,Yes,0.0625
194,constitución,2500,7,levenshtein,Yes,0.078125
195,constitución,2500,1,intermediate,No,0.796875
196,constitución,2500,2,intermediate,No,0.796875
197,constitución,2500,4,intermediate,No,0.8125
198,constitución,2500,5,intermediate,No,0.8125
199,constitución,2500,7,intermediate,No,0.796875
200,constitución,2500,1,restricted,No,0.109375
201,constitución,2500,2,restricted,No,0.140625
202,constitución,2500,4,restricted,No,0.1875
203,constitución,2500,5,restricted,No,0.265625
204,constitución,2500,7,restricted,No,0.28125
205,constitución,2500,1,levenshtein,No,0.09375
206,constitución,2500,2,levenshtein,No,0.125
207,constitución,2500,4,levenshtein,No,0.1875
208,constitución,2500,5,levenshtein,No,0.234375
209,constitución,2500,7,levenshtein,No,0.234375
210,constitución,10000,1,intermediate,Yes,0.0625
211,constitución,10000,2,intermediate,Yes,0.1875
212,constitución,10000,4,intermediate,Yes,0.796875
213,constitución,10000,5,intermediate,Yes,1.265625
214,constitución,10000,7,intermediate,Yes,1.9375
215,constitución,10000,1,restricted,Yes,0.046875
216,constitución,10000,2,restricted,Yes,0.171875
217,constitución,10000,4,restricted,Yes,0.640625
218,constitución,10000,5,restricted,Yes,1.0625
219,constitución,10000,7,restricted,Yes,1.71875
220,constitución,10000,1,levenshtein,Yes,0.25
221,constitución,10000,2,levenshtein,Yes,0.25
222,constitución,10000,4,levenshtein,Yes,0.21875
223,constitución,10000,5,levenshtein,Yes,0.25
224,constitución,10000,7,levenshtein,Yes,0.3125
225,constitución,10000,1,intermediate,No,3.140625
226,constitución,10000,2,intermediate,No,3.125
227,constitución,10000,4,intermediate,No,3.109375
228,constitución,10000,5,intermediate,No,3.109375
229,constitución,10000,7,intermediate,No,3.109375
230,constitución,10000,1,restricted,No,1.046875
231,constitución,10000,2,restricted,No,1.03125
232,constitución,10000,4,restricted,No,1.0625
233,constitución,10000,5,restricted,No,1.0
234,constitución,10000,7,restricted,No,1.03125
235,constitución,10000,1,levenshtein,No,0.890625
236,constitución,10000,2,levenshtein,No,0.890625
237,constitución,10000,4,levenshtein,No,0.90625
238,constitución,10000,5,levenshtein,No,0.90625
239,constitución,10000,7,levenshtein,No,0.921875
240,constitución,35000,1,intermediate,Yes,0.109375
241,constitución,35000,2,intermediate,Yes,0.375
242,constitución,35000,4,intermediate,Yes,1.5625
243,constitución,35000,5,intermediate,Yes,2.546875
244,constitución,35000,7,intermediate,Yes,4.25
245,constitución,35000,1,restricted,Yes,0.078125
246,constitución,35000,2,restricted,Yes,0.296875
247,constitución,35000,4,restricted,Yes,1.328125
248,constitución,35000,5,restricted,Yes,2.09375
249,constitución,35000,7,restricted,Yes,3.546875
250,constitución,35000,1,levenshtein,Yes,0.515625
251,constitución,35000,2,levenshtein,Yes,0.578125
252,constitución,35000,4,levenshtein,Yes,0.53125
253,constitución,35000,5,levenshtein,Yes,0.546875
254,constitución,35000,7,levenshtein,Yes,0.6875
255,constitución,35000,1,intermediate,No,7.15625
256,constitución,35000,2,intermediate,No,6.921875
257,constitución,35000,4,intermediate,No,6.796875
258,constitución,35000,5,intermediate,No,6.96875
259,constitución,35000,7,intermediate,No,7.109375
260,constitución,35000,1,restricted,No,2.375
261,constitución,35000,2,restricted,No,2.390625
262,constitución,35000,4,restricted,No,2.3125
263,constitución,35000,5,restricted,No,2.390625
264,constitución,35000,7,restricted,No,2.3125
265,constitución,35000,1,levenshtein,No,1.953125
266,constitución,35000,2,levenshtein,No,2.046875
267,constitución,35000,4,levenshtein,No,2.015625
268,constitución,35000,5,levenshtein,No,2.015625
269,constitución,35000,7,levenshtein,No,2.0625
270,ancho,2500,1,intermediate,Yes,0.03125
271,ancho,2500,2,intermediate,Yes,0.078125
272,ancho,2500,4,intermediate,Yes,0.1875
273,ancho,2500,5,intermediate,Yes,0.234375
274,ancho,2500,7,intermediate,Yes,0.25
275,ancho,2500,1,restricted,Yes,0.015625
276,ancho,2500,2,restricted,Yes,0.0625
277,ancho,2500,4,restricted,Yes,0.171875
278,ancho,2500,5,restricted,Yes,0.171875
279,ancho,2500,7,restricted,Yes,0.21875
280,ancho,2500,1,levenshtein,Yes,0.046875
281,ancho,2500,2,levenshtein,Yes,0.0625
282,ancho,2500,4,levenshtein,Yes,0.09375
283,ancho,2500,5,levenshtein,Yes,0.09375
284,ancho,2500,7,levenshtein,Yes,0.09375
285,ancho,2500,1,intermediate,No,0.296875
286,ancho,2500,2,intermediate,No,0.296875
287,ancho,2500,4,intermediate,No,0.265625
288,ancho,2500,5,intermediate,No,0.296875
289,ancho,2500,7,intermediate,No,0.296875
290,ancho,2500,1,restricted,No,0.109375
291,ancho,2500,2,restricted,No,0.109375
292,ancho,2500,4,restricted,No,0.109375
293,ancho,2500,5,restricted,No,0.109375
294,ancho,2500,7,restricted,No,0.109375
295,ancho,2500,1,levenshtein,No,0.09375
296,ancho,2500,2,levenshtein,No,0.09375
297,ancho,2500,4,levenshtein,No,0.109375
298,ancho,2500,5,levenshtein,No,0.09375
299,ancho,2500,7,levenshtein,No,0.109375
300,ancho,10000,1,intermediate,Yes,0.09375
301,ancho,10000,2,intermediate,Yes,0.25
302,ancho,10000,4,intermediate,Yes,0.6875
303,ancho,10000,5,intermediate,Yes,0.84375
304,ancho,10000,7,intermediate,Yes,1.046875
305,ancho,10000,1,restricted,Yes,0.078125
306,ancho,10000,2,restricted,Yes,0.25
307,ancho,10000,4,restricted,Yes,0.625
308,ancho,10000,5,restricted,Yes,0.75
309,ancho,10000,7,restricted,Yes,0.921875
310,ancho,10000,1,levenshtein,Yes,0.21875
311,ancho,10000,2,levenshtein,Yes,0.21875
312,ancho,10000,4,levenshtein,Yes,0.359375
313,ancho,10000,5,levenshtein,Yes,0.375
314,ancho,10000,7,levenshtein,Yes,0.40625
315,ancho,10000,1,intermediate,No,1.171875
316,ancho,10000,2,intermediate,No,1.15625
317,ancho,10000,4,intermediate,No,1.171875
318,ancho,10000,5,intermediate,No,1.140625
319,ancho,10000,7,intermediate,No,1.171875
320,ancho,10000,1,restricted,No,0.421875
321,ancho,10000,2,restricted,No,0.421875
322,ancho,10000,4,restricted,No,0.421875
323,ancho,10000,5,restricted,No,0.40625
324,ancho,10000,7,restricted,No,0.4375
325,ancho,10000,1,levenshtein,No,0.390625
326,ancho,10000,2,levenshtein,No,0.390625
327,ancho,10000,4,levenshtein,No,0.375
328,ancho,10000,5,levenshtein,No,0.40625
329,ancho,10000,7,levenshtein,No,0.390625
330,ancho,35000,1,intermediate,Yes,0.234375
331,ancho,35000,2,intermediate,Yes,0.640625
332,ancho,35000,4,intermediate,Yes,1.71875
333,ancho,35000,5,intermediate,Yes,2.046875
334,ancho,35000,7,intermediate,Yes,2.453125
335,ancho,35000,1,restricted,Yes,0.203125
336,ancho,35000,2,restricted,Yes,0.59375
337,ancho,35000,4,restricted,Yes,1.453125
338,ancho,35000,5,restricted,Yes,1.78125
339,ancho,35000,7,restricted,Yes,2.03125
340,ancho,35000,1,levenshtein,Yes,0.5
341,ancho,35000,2,levenshtein,Yes,0.515625
342,ancho,35000,4,levenshtein,Yes,0.765625
343,ancho,35000,5,levenshtein,Yes,0.84375
344,ancho,35000,7,levenshtein,Yes,0.9375
345,ancho,35000,1,intermediate,No,2.609375
346,ancho,35000,2,intermediate,No,2.6875
347,ancho,35000,4,intermediate,No,2.8125
348,ancho,35000,5,intermediate,No,2.640625
349,ancho,35000,7,intermediate,No,2.6875
350,ancho,35000,1,restricted,No,0.96875
351,ancho,35000,2,restricted,No,0.953125
352,ancho,35000,4,restricted,No,0.953125
353,ancho,35000,5,restricted,No,0.953125
354,ancho,35000,7,restricted,No,1.015625
355,ancho,35000,1,levenshtein,No,0.859375
356,ancho,35000,2,levenshtein,No,0.90625
357,ancho,35000,4,levenshtein,No,0.90625
358,ancho,35000,5,levenshtein,No,0.875
359,ancho,35000,7,levenshtein,No,0.90625
360,savaedra,2500,1,intermediate,Yes,0.078125
361,savaedra,2500,2,intermediate,Yes,0.140625
362,savaedra,2500,4,intermediate,Yes,0.296875
363,savaedra,2500,5,intermediate,Yes,0.34375
364,savaedra,2500,7,intermediate,Yes,0.40625
365,savaedra,2500,1,restricted,Yes,0.0625
366,savaedra,2500,2,restricted,Yes,0.109375
367,savaedra,2500,4,restricted,Yes,0.265625
368,savaedra,2500,5,restricted,Yes,0.3125
369,savaedra,2500,7,restricted,Yes,0.34375
370,savaedra,2500,1,levenshtein,Yes,0.0625
371,savaedra,2500,2,levenshtein,Yes,0.0625
372,savaedra,2500,4,levenshtein,Yes,0.078125
373,savaedra,2500,5,levenshtein,Yes,0.125
374,savaedra,2500,7,levenshtein,Yes,0.125
375,savaedra,2500,1,intermediate,No,0.546875
376,savaedra,2500,2,intermediate,No,0.53125
377,savaedra,2500,4,intermediate,No,0.53125
378,savaedra,2500,5,intermediate,No,0.515625
379,savaedra,2500,7,intermediate,No,0.53125
380,savaedra,2500,1,restricted,No,0.078125
381,savaedra,2500,2,restricted,No,0.125
382,savaedra,2500,4,restricted,No,0.203125
383,savaedra,2500,5,restricted,No,0.1875
384,savaedra,2500,7,restricted,No,0.171875
385,savaedra,2500,1,levenshtein,No,0.0625
386,savaedra,2500,2,levenshtein,No,0.109375
387,savaedra,2500,4,levenshtein,No,0.15625
388,savaedra,2500,5,levenshtein,No,0.15625
389,savaedra,2500,7,levenshtein,No,0.15625
390,savaedra,10000,1,intermediate,Yes,0.203125
391,savaedra,10000,2,intermediate,Yes,0.484375
392,savaedra,10000,4,intermediate,Yes,1.1875
393,savaedra,10000,5,intermediate,Yes,1.4375
394,savaedra,10000,7,intermediate,Yes,1.65625
395,savaedra,10000,1,restricted,Yes,0.1875
396,savaedra,10000,2,restricted,Yes,0.40625
397,savaedra,10000,4,restricted,Yes,1.0
398,savaedra,10000,5,restricted,Yes,1.25
399,savaedra,10000,7,restricted,Yes,1.46875
400,savaedra,10000,1,levenshtein,Yes,0.21875
401,savaedra,10000,2,levenshtein,Yes,0.21875
402,savaedra,10000,4,levenshtein,Yes,0.34375
403,savaedra,10000,5,levenshtein,Yes,0.453125
404,savaedra,10000,7,levenshtein,Yes,0.515625
405,savaedra,10000,1,intermediate,No,2.03125
406,savaedra,10000,2,intermediate,No,2.046875
407,savaedra,10000,4,intermediate,No,2.0
408,savaedra,10000,5,intermediate,No,1.984375
409,savaedra,10000,7,intermediate,No,2.015625
410,savaedra,10000,1,restricted,No,0.4375
411,savaedra,10000,2,restricted,No,0.59375
412,savaedra,10000,4,restricted,No,0.703125
413,savaedra,10000,5,restricted,No,0.65625
414,savaedra,10000,7,restricted,No,0.65625
415,savaedra,10000,1,levenshtein,No,0.390625
416,savaedra,10000,2,levenshtein,No,0.515625
417,savaedra,10000,4,levenshtein,No,0.59375
418,savaedra,10000,5,levenshtein,No,0.609375
419,savaedra,10000,7,levenshtein,No,0.59375
420,savaedra,35000,1,intermediate,Yes,0.46875
421,savaedra,35000,2,intermediate,Yes,1.015625
422,savaedra,35000,4,intermediate,Yes,2.640625
423,savaedra,35000,5,intermediate,Yes,3.3125
424,savaedra,35000,7,intermediate,Yes,3.828125
425,savaedra,35000,1,restricted,Yes,0.421875
426,savaedra,35000,2,restricted,Yes,0.875
427,savaedra,35000,4,restricted,Yes,2.28125
428,savaedra,35000,5,restricted,Yes,2.765625
429,savaedra,35000,7,restricted,Yes,3.1875
430,savaedra,35000,1,levenshtein,Yes,0.5
431,savaedra,35000,2,levenshtein,Yes,0.5
432,savaedra,35000,4,levenshtein,Yes,0.734375
433,savaedra,35000,5,levenshtein,Yes,0.921875
434,savaedra,35000,7,levenshtein,Yes,1.109375
435,savaedra,35000,1,intermediate,No,4.609375
436,savaedra,35000,2,intermediate,No,4.53125
437,savaedra,35000,4,intermediate,No,4.8125
438,savaedra,35000,5,intermediate,No,4.59375
439,savaedra,35000,7,intermediate,No,4.5625
440,savaedra,35000,1,restricted,No,1.515625
441,savaedra,35000,2,restricted,No,1.546875
